scenario_id,delta_IRE,delta_TKQR,delta_main_score,status
train_000195,0.800000,0.529197,0.705219,improved
train_000468,1.000000,0.842734,0.944957,improved
train_000483,1.000000,0.720000,0.902000,improved
train_000505,0.600000,0.474453,0.556059,improved
train_000900,1.000000,0.736000,0.907600,improved
train_000911,0.750000,0.754286,0.751500,improved
train_000997,1.000000,0.828989,0.940146,improved
train_001022,0.750000,0.216000,0.563100,improved
train_001062,1.000000,0.333333,0.766667,improved
train_001064,1.000000,0.865485,0.952920,improved
train_001080,1.000000,0.389333,0.786267,improved
train_001126,1.000000,0.790249,0.926587,improved
train_001182,0.600000,0.437956,0.543285,improved
train_001212,1.000000,0.440000,0.804000,improved
train_001359,1.000000,0.840000,0.944000,improved
train_001477,1.000000,0.646259,0.876191,improved
train_001588,1.000000,0.880000,0.958000,improved
train_004097,1.000000,0.554745,0.844161,improved
train_004621,1.000000,0.496000,0.823600,improved
train_006059,0.500000,0.308571,0.433000,improved
train_006215,1.000000,0.590909,0.856818,improved
